year-month,cumulative_installed_kw,installations_in_month
2001-04,422,13
2001-05,434,12
2001-06,467,19
2001-07,540,7
2001-08,557,10
2001-09,579,17
2001-10,596,10
2001-11,632,19
2001-12,654,13
2002-01,682,17
2002-02,709,19
2002-03,732,14
2002-04,750,15
2002-05,779,19
2002-06,795,16
2002-07,821,16
2002-08,849,19
2002-09,910,27
2002-10,941,21
2002-11,1231,37
2002-12,4274,34
2003-01,5394,45
2003-02,5504,34
2003-03,5565,44
2003-04,5592,16
2003-05,5612,15
2003-06,5676,46
2003-07,5771,63
2003-08,5881,83
2003-09,5979,69
2003-10,6109,85
2003-11,6238,92
2003-12,6342,74
2004-01,6399,44
2004-02,6507,92
2004-03,6604,68
2004-04,6724,75
2004-05,6837,84
2004-06,6939,85
2004-07,7031,89
2004-08,7152,102
2004-09,7239,85
2004-10,7390,137
2004-11,7521,120
2004-12,7656,108
2005-01,7794,99
2005-02,7914,118
2005-03,8027,110
2005-04,8633,141
2005-05,8799,137
2005-06,8934,95
2005-07,9088,106
2005-08,9245,107
2005-09,9374,97
2005-10,9559,115
2005-11,9763,142
2005-12,10219,142
2006-01,10317,59
2006-02,10396,57
2006-03,10555,91
2006-04,10971,80
2006-05,11122,97
2006-06,11260,88
2006-07,36948,81
2006-08,37084,86
2006-09,37222,89
2006-10,37414,124
2006-11,37652,138
2006-12,37870,130
2007-01,38033,106
2007-02,38214,118
2007-03,38441,154
2007-04,38649,134
2007-05,38819,122
2007-06,39120,196
2007-07,39573,282
2007-08,40137,363
2007-09,40811,422
2007-10,41726,543
2007-11,42569,522
2007-12,43558,524
2008-01,44443,528
2008-02,45392,645
2008-03,46365,684
2008-04,47704,875
2008-05,49197,1031
2008-06,50526,928
2008-07,52166,1147
2008-08,53781,1177
2008-09,55679,1329
2008-10,58179,1821
2008-11,60593,1769
2008-12,63602,2130
2009-01,66369,2170
2009-02,70156,2990
2009-03,74815,3573
2009-04,79316,3429
2009-05,84637,4082
2009-06,90449,4346
2009-07,96981,5169
2009-08,104352,5724
2009-09,112990,6268
2009-10,124696,7819
2009-11,137782,9280
2009-12,150029,8070
2010-01,163116,8400
2010-02,178872,10295
2010-03,200624,13228
2010-04,223457,13413
2010-05,252591,16687
2010-06,286611,18160
2010-07,321179,16808
2010-08,358451,17390
2010-09,399831,19022
2010-10,445579,21171
2010-11,500363,24984
2010-12,541390,18654
2011-01,599499,25466
2011-02,664080,28850
2011-03,744298,35529
2011-04,820294,33180
2011-05,936855,50291
2011-06,1104202,68868
2011-07,1158307,22220
2011-08,1214903,22127
2011-09,1283340,24877
2011-10,1327264,16669
2011-11,1375663,18080
2011-12,1415682,14597
2012-01,1450201,13018
2012-02,1503231,19567
2012-03,1565762,23633
2012-04,1637135,26554
2012-05,1759413,43479
2012-06,1938688,59214
2012-07,2017479,25778
2012-08,2115733,27994
2012-09,2211439,28422
2012-10,2284718,22610
2012-11,2358973,22508
2012-12,2465551,30564
2013-01,2517228,15005
2013-02,2573119,15489
2013-03,2633774,16143
2013-04,2696785,16741
2013-05,2775962,20144
2013-06,2867445,22224
2013-07,2932102,16766
2013-08,2992484,14963
2013-09,3054998,14891
2013-10,3128102,17317
2013-11,3212749,16968
2013-12,3276939,13756
2014-01,3338182,13770
2014-02,3396426,14118
2014-03,3458783,14265
2014-04,3520257,13501
2014-05,3613718,16192
2014-06,3678456,14418
2014-07,3751527,16264
2014-08,3818370,14780
2014-09,3891193,16579
2014-10,3966697,16813
2014-11,4033492,14159
2014-12,4099127,13533
2015-01,4152499,11467
2015-02,4214003,12877
2015-03,4379461,13169
2015-04,4432996,11074
2015-05,4492562,11630
2015-06,4552673,11787
2015-07,4672030,13111
2015-08,4734931,11625
2015-09,4797115,11780
2015-10,4859096,11485
2015-11,4922467,11243
2015-12,4982237,10306
2016-01,5024699,8216
2016-02,5138273,10968
2016-03,5195328,10653
2016-04,5263522,10292
2016-05,5323066,10694
2016-06,5386756,10073
2016-07,5444900,10138
2016-08,5510995,11471
2016-09,5579799,11317
2016-10,5645876,11063
2016-11,5724502,13446
2016-12,5848407,14447
2017-01,5904799,10136
2017-02,5985792,12998
2017-03,6096268,14247
2017-04,6166604,11661
2017-05,6264443,14690
2017-06,6361165,14072
2017-07,6471103,14622
2017-08,6573044,15860
2017-09,6672150,14691
2017-10,6783164,15891
2017-11,6938300,18380
2017-12,7223960,17825
2018-01,7373107,14335
2018-02,7494052,16652
2018-03,7977288,17737
2018-04,8113611,15907
2018-05,8487494,18262
2018-06,8626766,16451
2018-07,9149348,17957
2018-08,9510069,19401
2018-09,10338133,19086
2018-10,10639724,22150
2018-11,11040652,24924
2018-12,11322786,22342
2019-01,11592722,18605
2019-02,12034480,22955
2019-03,12218545,23383
2019-04,12566054,20840
2019-05,13007929,23050
2019-06,13262707,19138
2019-07,13466164,22719
2019-08,13903379,23320
2019-09,14100701,24787
2019-10,14588109,27792
2019-11,15174023,30110
2019-12,16093623,29411
2020-01,16292269,23463
2020-02,16523324,28173
2020-03,16896028,31182
2020-04,17233925,26424
2020-05,17459792,27716
2020-06,17960076,29815
2020-07,18272795,33140
2020-08,18499572,27601
2020-09,19013836,30025
2020-10,19296950,30336
2020-11,19854707,31545
2020-12,20198546,14835
